time,id,x,y,w,h
5538.00 ,4 ,362.09 ,324.36 ,30.54 ,79.54 
5571.00 ,1 ,294.48 ,349.01 ,28.57 ,77.23 
5571.00 ,4 ,361.52 ,325.36 ,29.85 ,79.22 
5605.00 ,1 ,294.18 ,349.35 ,29.12 ,77.87 
5605.00 ,4 ,361.53 ,327.01 ,30.43 ,78.21 
5638.00 ,1 ,293.99 ,349.53 ,29.39 ,78.17 
5638.00 ,4 ,361.04 ,329.20 ,31.20 ,80.02 
5671.00 ,1 ,294.06 ,349.73 ,29.23 ,78.11 
5671.00 ,4 ,360.51 ,332.36 ,31.59 ,82.71 
5705.00 ,1 ,294.38 ,350.28 ,29.13 ,77.64 
5705.00 ,4 ,360.51 ,335.79 ,32.41 ,86.57 
5738.00 ,1 ,294.51 ,350.73 ,29.14 ,77.84 
5738.00 ,4 ,359.87 ,338.88 ,32.90 ,89.44 
5772.00 ,1 ,294.75 ,350.89 ,28.84 ,77.61 
5772.00 ,4 ,359.79 ,342.03 ,33.44 ,91.12 
5805.00 ,1 ,295.01 ,350.98 ,28.36 ,77.43 
5805.00 ,4 ,359.47 ,344.03 ,32.58 ,92.11 
5838.00 ,1 ,295.27 ,350.86 ,27.72 ,77.06 
5838.00 ,4 ,359.44 ,345.86 ,33.51 ,92.42 
5872.00 ,1 ,294.90 ,350.84 ,28.35 ,77.17 
5872.00 ,4 ,359.47 ,346.97 ,33.74 ,91.30 
5905.00 ,1 ,295.34 ,350.82 ,27.56 ,77.44 
5905.00 ,4 ,358.28 ,348.20 ,32.02 ,91.32 
5938.00 ,1 ,295.22 ,350.95 ,28.64 ,79.29 
5938.00 ,4 ,358.25 ,348.49 ,32.08 ,89.99 
5972.00 ,1 ,295.21 ,350.97 ,28.92 ,79.92 
5972.00 ,4 ,358.08 ,349.05 ,32.44 ,88.56 
6005.00 ,1 ,294.56 ,348.93 ,29.43 ,76.56 
6005.00 ,4 ,358.12 ,349.71 ,32.44 ,87.70 
6039.00 ,1 ,294.36 ,348.79 ,29.63 ,76.16 
